,as.factor(sample_cluster),n,mean,sd,min,Q1,median,Q3,max
Fannyhessea_massiliense.1,1,345,11407,15300,1166,3208,6763,12843,144268
Fannyhessea_massiliense.2,2,174,51219,70642,2006,14468,28223,51119,429087
Fannyhessea_massiliense.3,3,92,20943,40836,996,3119,6625,20069,239448
Fannyhessea_spNov3.1,1,164,11082,9613,1716,4664,8488,13367,55196
Fannyhessea_spNov3.2,2,156,52246,73090,4268,15512,28862,58708,726713
Fannyhessea_spNov3.3,3,134,19241,22935,1991,6555,10100,22330,111668
Fannyhessea_spNov3.4,4,132,4237,4555,932,1639,2417,4730,25929
Fannyhessea_spNov3.5,5,47,82190,63682,18979,35893,58344,105897,236990
Fannyhessea_spNov3.6,6,34,29320,26200,2277,10594,22055,39135,117876
Fannyhessea_spNov3.7,7,19,12643,13743,1775,4985,8457,13872,61761
Fannyhessea_spNov3.8,8,16,172274,250255,28987,66013,105117,152844,1081659
Fannyhessea_spNov3.9,9,12,9082,5290,1582,4184,9354,13200,17652
Fannyhessea_vaginae.1,1,366,90727,280750,1185,7546,24304,88193,3471566
Fannyhessea_vaginae.2,2,286,324166,426742,2062,88639,175557,396482,3031801
Fannyhessea_vaginae.3,3,261,51824,93993,1067,7689,16915,44003,761495
Fannyhessea_vaginae.4,4,233,38401,68880,1053,4716,17120,45506,817830
Fenollaria_massiliensis.1,1,38,15608,19267,3105,3752,7092,15204,74492
Fenollaria_massiliensis.2,2,32,41259,92401,2212,4547,11277,32956,518892
Finegoldia_magna.1,1,188,10843,13567,1906,3837,5747,11350,87058
Finegoldia_magna.2,2,84,25944,45771,1889,4276,9427,20261,310352
Finegoldia_magna.3,3,58,29879,65077,1936,3869,5947,12567,329997
Fusobacterium_animalis.1,1,16,14386,46730,1066,1558,2417,3218,189463
Fusobacterium_animalis.2,2,26,34944,116197,1456,3217,7694,20270,600868
Fusobacterium_gonidiaformans,1,20,12352,10267,2063,4787,8928,17674,45289
Gardnerella.1,1,330,65823,78224,3870,19259,40767,88238,898913
Gardnerella.2,2,112,109213,119365,9614,33158,59205,130106,657355
Gardnerella.3,3,84,241613,183911,33879,126075,184285,290083,979232
Gardnerella_leopoldii.1,1,52,38899,31469,7125,21286,31288,44600,205580
Gardnerella_leopoldii.2,2,37,313894,345002,28066,105340,197629,307835,1424268
Gardnerella_leopoldii.3,3,31,56362,58777,7909,18936,32033,70466,265382
Gardnerella_leopoldii.4,4,26,147371,124678,22543,58440,124346,177030,491995
Gardnerella_leopoldii.5,5,16,74229,81245,13958,22490,58351,76113,314688
Gardnerella_leopoldii.6,6,13,91930,69324,11004,38600,75783,131314,223077
Gardnerella_leopoldii.7,7,13,111284,91915,20030,69774,89596,131995,365707
Gardnerella_leopoldii.8,8,12,80035,60160,24968,34728,60516,92319,198827
Gardnerella_leopoldii.9,9,10,58313,33803,16826,30816,53388,79669,125670
Gardnerella_leopoldii.10,10,10,93938,193629,14852,22057,33427,47434,643722
Gardnerella_piotii.1,1,336,243445,404247,1625,34881,84747,238606,2562170
Gardnerella_piotii.2,2,317,114221,334906,1338,9950,26920,73355,3208647
Gardnerella_piotii.3,3,236,111722,231796,1821,13886,37025,114788,2165460
Gardnerella_piotii.4,4,153,31380,59793,1158,3922,9259,31541,502359
Gardnerella_piotii.5,5,85,48059,50064,2149,11050,24203,68643,218857
Gardnerella_sp003585735.1,1,75,171311,336980,1712,12749,40254,110563,1565482
Gardnerella_sp003585735.2,2,59,62197,117427,2141,6267,18450,59932,721085
Gardnerella_sp003585735.3,3,43,97442,120396,2604,15638,50502,102957,458981
Gardnerella_sp003585845.1,1,74,41204,37252,7418,20253,29759,48073,238355
Gardnerella_sp003585845.2,2,65,151455,229692,11522,41617,68147,170999,1463140
Gardnerella_sp003585845.3,3,52,16549,15971,3206,6874,12554,19886,104666
Gardnerella_sp003585845.4,4,26,81803,91909,7392,18656,45893,96707,370127
Gardnerella_sp003585845.5,5,23,202124,178401,6766,48853,201951,289801,579153
Gardnerella_sp003585845.6,6,15,64139,72197,13429,19953,23492,97826,245946
Gardnerella_sp003585845.7,7,13,26641,20117,6402,13647,20686,32019,67914
Gardnerella_sp003585845.8,8,11,73270,130029,2782,5482,12511,75100,436658
Gardnerella_spNov1,1,20,97961,260350,2121,8343,22132,52936,1177519
Gardnerella_spNov2.1,1,19,8243,5635,1719,3985,5973,10415,21153
Gardnerella_spNov2.2,2,64,186123,226422,6526,44213,82488,251263,1173710
Gardnerella_swidsinkii.1,1,316,733507,1066851,13639,171386,369739,946745,8112059
Gardnerella_swidsinkii.2,2,216,66480,159182,1650,6337,17046,43056,1114201
Gardnerella_swidsinkii.3,3,42,166763,196882,15716,63752,102560,161291,876931
Gardnerella_vaginalis.1,1,663,132783,424846,2085,12958,37726,120343,9393466
Gardnerella_vaginalis.2,2,555,282508,532331,1446,21406,82718,289677,4411960
Gardnerella_vaginalis_A.1,1,301,122124,171807,2957,31358,65030,141955,1444894
Gardnerella_vaginalis_A.2,2,219,12690,16458,1130,3938,7598,15115,126779
Gardnerella_vaginalis_A.3,3,75,122415,210946,2965,15783,57654,128535,1424185
Gardnerella_vaginalis_B.1,1,16,144104,221457,3067,17418,67447,170430,906665
Gardnerella_vaginalis_B.2,2,93,47648,60275,1716,16741,30365,46636,327904
Gardnerella_vaginalis_B.3,3,72,11690,12231,1668,3683,6885,14423,58833
Gardnerella_vaginalis_C.1,1,288,234500,429341,1881,40490,96581,218295,3117622
Gardnerella_vaginalis_C.2,2,162,172238,309312,2208,19261,58049,163770,2375740
Gardnerella_vaginalis_C.3,3,157,49526,178443,1427,4027,9713,31810,2092422
Gardnerella_vaginalis_D.1,1,163,191267,218841,4765,39125,110248,248433,1085654
Gardnerella_vaginalis_D.2,2,84,40318,57069,3418,11067,20153,46573,378104
Gardnerella_vaginalis_D.3,3,40,16554,37155,1596,3421,6904,14121,230721
Gardnerella_vaginalis_D.4,4,32,412961,380272,38671,131219,223690,577081,1505075
Gardnerella_vaginalis_D.5,5,26,17699,24708,1719,4861,8701,26202,122725
Gardnerella_vaginalis_E.1,1,54,210173,248809,28066,70036,112720,279394,1417862
Gardnerella_vaginalis_E.2,2,25,219278,352583,21116,55694,92874,167181,1677555
Gardnerella_vaginalis_F.1,1,212,166599,320844,1514,10490,39018,176372,2580179
Gardnerella_vaginalis_F.2,2,94,221889,316577,2114,20951,92669,284287,1956904
Gardnerella_vaginalis_F.3,3,38,101459,148276,3086,11616,39277,109066,714272
Gardnerella_vaginalis_H.1,1,200,328037,768294,3350,69951,148360,340037,9939030
Gardnerella_vaginalis_H.2,2,138,22518,96613,1139,3622,7477,13440,1111382
Gardnerella_vaginalis_H.3,3,128,63863,94998,3167,16911,31631,55046,484362
Gardnerella_vaginalis_H.4,4,33,158761,328408,7551,23502,50422,95223,1707524
Gemella_asaccharolytica.1,1,85,14134,21953,2303,3830,6547,13950,155498
Gemella_asaccharolytica.2,2,78,9796,11027,1962,3427,5080,11705,62857
Gemella_asaccharolytica.3,3,59,11133,14222,1936,3799,5693,11646,72278
Gemella_asaccharolytica.4,4,25,9127,14337,2665,3545,4945,7401,67644
Gemella_asaccharolytica.5,5,24,9193,7355,2163,4130,6983,9761,30376
Gemella_asaccharolytica.6,6,14,18445,20279,2902,5263,10459,25668,71518
Gemella_asaccharolytica.7,7,12,13216,9158,3931,7803,9002,17116,33563
Gemella_asaccharolytica.8,8,11,16929,13254,2428,6261,13714,22155,42574
Gemella_asaccharolytica.9,9,11,7290,7200,2599,4188,5107,6360,28307
Gemella_haemolysans.1,1,17,12983,11270,2487,6005,12055,16101,50737
Gemella_haemolysans.2,2,21,15824,19904,2011,3643,6858,23722,85683
Gleimia_europaea,1,31,10796,32605,895,1465,2343,4402,178819
Gulosibacter,1,22,7217,14212,1012,1575,2173,4956,65673
KA00274_sp001552885.1,1,10,1820,750,1155,1249,1489,2177,3389
KA00274_sp001552885.2,2,49,19553,38872,1812,3132,9205,17102,236207
KA00274_sp902373515.1,1,250,39091,67912,1186,8131,18057,42107,582456
KA00274_sp902373515.2,2,220,119602,170536,2427,27852,58462,118338,1050196
KA00274_sp902373515.3,3,144,54515,108081,1424,7902,16351,50433,909996
KA00274_sp902373515.4,4,91,86388,125936,1783,14313,34076,116999,860615
KA00274_sp902373515.5,5,81,4424,4543,935,1674,2323,4897,23804
Lactobacillus_crispatus.1,1,195,845432,1480378,2834,19690,152672,991613,8893427
Lactobacillus_crispatus.2,2,132,1115895,1464683,3677,146756,411736,1497679,6146296
Lactobacillus_crispatus.3,3,117,2066202,1738479,42444,687239,1648502,3100829,7517931
Lactobacillus_crispatus.4,4,75,932848,1306924,3844,70360,441651,1204955,5973697
Lactobacillus_crispatus.5,5,68,879007,1465263,3431,12409,178352,1214204,7953813
Lactobacillus_crispatus.6,6,66,1972073,1829505,18892,730657,1445434,2842069,11557405
Lactobacillus_crispatus.7,7,54,723153,1180618,6234,23428,124369,974758,4804968
Lactobacillus_crispatus.8,8,49,1939472,1594674,78801,599505,1418055,2506413,6285114
Lactobacillus_crispatus.9,9,46,10096,12645,2095,2777,4691,9662,56876
Lactobacillus_crispatus.10,10,29,491125,740349,3078,19437,110454,390799,2401233
Lactobacillus_gasseri.1,1,172,125706,332016,2382,7562,20306,61867,2438581
Lactobacillus_gasseri.2,2,67,342293,666231,2400,17645,118353,391439,4292734
Lactobacillus_iners.1,1,374,317225,543736,3411,65752,133213,349727,5212963
Lactobacillus_iners.2,2,369,360999,494341,3312,57720,157970,440754,3249163
Lactobacillus_iners.3,3,260,61680,140276,1455,6345,17041,53734,1008124
Lactobacillus_iners.4,4,249,458221,830942,3228,82792,184872,489893,8406899
Lactobacillus_iners.5,5,237,19483,35390,1744,4489,10547,21389,414683
Lactobacillus_iners.6,6,178,492002,577454,5044,121456,313576,628082,3973916
Lactobacillus_iners.7,7,98,451528,497013,9701,77759,289789,574115,2544478
Lactobacillus_iners.8,8,42,932779,1711695,30325,213099,397071,907850,10162470
Lactobacillus_jensenii.1,1,102,100198,188405,1871,11631,29848,110016,1327406
Lactobacillus_jensenii.2,2,83,241583,826964,3185,17404,45141,159623,7245237
Lactobacillus_jensenii.3,3,51,290782,629144,1558,11888,37128,353925,4094342
Lactobacillus_jensenii.4,4,48,330393,625757,8143,32665,43718,189581,2648848
Lactobacillus_jensenii.5,5,35,354420,901797,2198,17740,45484,170338,3839204
Lactobacillus_jensenii.6,6,27,67607,99481,1975,11593,26542,91651,382033
Lactobacillus_jensenii.7,7,19,351615,871168,4836,11833,82382,247237,3849494
Lactobacillus_jensenii.8,8,14,93224,110320,2831,6149,49182,150076,311041
Lactobacillus_mulieris.1,1,160,149899,472919,1055,3564,16667,83786,4549462
Lactobacillus_mulieris.2,2,56,16288,24510,958,2841,7113,16117,139815
Lactobacillus_mulieris.3,3,37,159150,358760,1362,17388,42519,179474,2110601
Lactobacillus_paragasseri.1,1,33,298973,661547,1236,4530,40549,259725,3474845
Lactobacillus_paragasseri.2,2,27,67577,127141,1278,6672,25155,47555,484475
Lactobacillus_paragasseri.3,3,16,290511,432581,1327,4275,81035,482067,1647217
Lawsonella_clevelandensis,1,35,16718,37216,1494,2780,5119,10831,176474
Levyella_massiliensis.1,1,13,15366,13972,2313,4609,8251,26488,43450
Levyella_massiliensis.2,2,19,7765,5544,2482,2880,5839,11555,19524
Limosilactobacillus,1,37,5956,9294,884,1728,2909,5564,52057
Limosilactobacillus_coleohominis.1,1,165,15399,31765,967,3301,6198,16357,293954
Limosilactobacillus_coleohominis.2,2,39,8814,11651,989,1855,4660,10329,62246
Limosilactobacillus_coleohominis.3,3,24,11351,14922,1397,2832,6814,10457,57578
Limosilactobacillus_fermentum,1,29,25200,32875,976,2444,6246,55312,91231
Limosilactobacillus_portuensis.1,1,120,59527,115021,2424,14910,23893,56962,870023
Limosilactobacillus_portuensis.2,2,101,9502,20469,1068,1965,3927,8486,155992
Limosilactobacillus_portuensis.3,3,99,26368,34037,1002,4689,14942,35689,184923
Limosilactobacillus_portuensis.4,4,44,19230,41216,2848,5680,11835,16154,278769
Limosilactobacillus_portuensis.5,5,44,14049,27946,1586,3175,4572,11045,171738
Limosilactobacillus_portuensis.6,6,31,11486,12983,1115,2885,5513,16458,47208
Limosilactobacillus_portuensis.7,7,28,8907,7850,1149,2660,7169,10803,31410
Limosilactobacillus_portuensis.8,8,10,12595,11483,1053,3039,10008,19330,35873
Limosilactobacillus_urinaemulieris.1,1,16,19865,32726,1606,2893,9786,19175,134889
Limosilactobacillus_urinaemulieris.2,2,27,31128,85376,1417,4397,8489,18577,446703
Limosilactobacillus_vaginalis.1,1,82,33832,153757,956,3195,8008,17861,1388119
Limosilactobacillus_vaginalis.2,2,23,33314,38516,3990,13201,23263,38915,181675
Mageeibacillus_indolicus.1,1,98,13829,23943,2152,5010,8917,13257,216491
Mageeibacillus_indolicus.2,2,67,24703,15695,7091,13653,19920,30226,89139
Mageeibacillus_indolicus.3,3,43,29085,40441,4127,8880,18863,27417,243325
Mageeibacillus_indolicus.4,4,38,139815,191922,5133,40421,95523,151265,1109715
Mageeibacillus_indolicus.5,5,33,48326,73918,2085,7380,11938,35644,254425
Mageeibacillus_indolicus.6,6,32,7560,5970,2199,3448,4707,9435,23657
Mageeibacillus_indolicus.7,7,20,35298,90623,4367,7136,11957,21131,417164
Mageeibacillus_indolicus.8,8,18,24053,15244,3575,12459,20821,36672,55630
Mageeibacillus_indolicus.9,9,16,12113,9209,2736,6223,10697,14145,41944
Mageeibacillus_indolicus.10,10,15,19153,16335,3083,6201,13895,29614,58345
Malacoplasma_girerdii.1,1,10,35256,58259,2482,5903,10932,17001,179046
Malacoplasma_girerdii.2,2,13,268377,333411,4942,31925,156168,374848,1169729
Megasphaera_hutchinsoni.1,1,171,85958,115622,4167,22687,46033,93832,943225
Megasphaera_hutchinsoni.2,2,75,42931,45421,1610,11496,25024,61342,234456
Megasphaera_hutchinsoni.3,3,67,11503,18903,1653,3413,6028,12481,119846
Megasphaera_hutchinsoni.4,4,42,2558,2819,919,1293,1751,2354,17513
Megasphaera_lornae.1,1,428,122699,160711,5639,39532,82676,151271,2024495
Megasphaera_lornae.2,2,124,20698,26397,1435,7360,11381,23042,190900
Megasphaera_lornae.3,3,119,183426,204130,14652,68484,126662,216556,1437744
Megasphaera_lornae.4,4,112,133265,152905,5085,38559,88250,198683,1303826
Megasphaera_lornae.5,5,74,11463,26116,1033,2971,4293,5704,166806
Metamycoplasma_hominis.1,1,36,36945,71131,3174,8435,14916,24791,379564
Metamycoplasma_hominis.2,2,30,25051,36456,3208,6257,13124,23686,189302
Metamycoplasma_hominis.3,3,30,9003,5367,2877,5078,7083,11458,24621
Metamycoplasma_hominis.4,4,24,20452,26334,3621,6438,8846,27055,124628
Mobiluncus_curtisii.1,1,146,26029,39159,1822,5574,11179,28562,276234
Mobiluncus_curtisii.2,2,53,79494,267429,2124,5235,15091,57700,1884283
Mobiluncus_curtisii.3,3,24,20057,38359,2473,4167,6497,15811,182669
Mobiluncus_curtisii.4,4,21,8623,8102,1803,3941,5393,9001,29086
Mobiluncus_mulieris.1,1,12,54107,50954,4410,17161,34389,95186,167338
Mobiluncus_mulieris.2,2,60,252078,804782,3611,23139,47431,155497,5942980
Mobiluncus_mulieris.3,3,45,352868,840145,2214,15573,57402,123449,4366351
Mobiluncus_mulieris.4,4,41,68413,85190,4398,11403,26286,122975,312157
Mobiluncus_mulieris.5,5,39,432237,627469,6661,60566,166170,509440,2996126
Mobiluncus_mulieris.6,6,32,72459,120328,2294,10097,19835,96555,617357
Mobiluncus_mulieris.7,7,31,5384,3570,2090,3108,4255,5825,16888
MultiGenera,1,1813,269308,469605,1562,33092,108420,313172,5823642
Nakaseomyces_glabratus,1,21,11693,14802,1362,2782,8195,13447,70195
Nanoperiomorbus_sp004136275.1,1,213,92937,278043,1424,7086,24756,90667,3284244
Nanoperiomorbus_sp004136275.2,2,68,125128,235880,2032,13753,33200,107446,1264066
Nanoperiomorbus_sp004136275.3,3,68,114067,203553,1584,11489,30740,120455,1190214
Olegusella_massiliensis,1,35,11448,15496,1558,3397,5114,9898,71625
Oligella_urethralis,1,23,27244,28874,4038,8915,15506,25223,107142
Parvimonas_sp001552895.1,1,173,27385,35168,1025,5704,13639,35273,205112
Parvimonas_sp001552895.2,2,130,26007,32255,1471,5951,16288,28473,175357
Parvimonas_sp001552895.3,3,93,23188,49944,1614,6567,12155,22300,452541
Parvimonas_sp001552895.4,4,79,4059,8031,981,1529,2266,3728,70836
Parvimonas_sp001552895.5,5,73,9258,7793,1769,4026,6806,11922,40032
Parvimonas_sp001552895.6,6,65,18914,30289,1517,5485,8219,24479,216980
Parvimonas_sp001552895.7,7,54,15311,17538,1687,4798,8712,19337,90260
Parvimonas_sp001552895.8,8,28,28344,28520,1862,7777,21558,43777,138941
Parvimonas_sp001552895.9,9,18,77712,99673,3542,17480,30917,91637,329035
Parvimonas_sp001552895.10,10,17,22115,26746,2375,7086,12494,24203,110352
Pauljensenia_turicensis.1,1,29,22849,35722,1263,4146,9186,22836,165120
Pauljensenia_turicensis.2,2,28,2028,1158,865,1275,1510,2530,4900
Peptococcus_niger.1,1,17,28068,42260,2830,5216,11866,27943,176239
Peptococcus_niger.2,2,21,29430,57741,2466,3535,9081,19683,263315
Peptoniphilus_coxii.1,1,10,39343,86859,2483,4154,11548,21580,285280
Peptoniphilus_coxii.2,2,45,17649,40546,2136,3557,5994,14304,269886
Peptoniphilus_duerdenii,1,38,26173,47908,2934,6973,9290,20893,285887
Peptoniphilus_harei.1,1,157,11735,12771,2167,4293,6437,13675,69460
Peptoniphilus_harei.2,2,47,13922,18344,3116,5305,8716,13653,111920
Peptoniphilus_harei.3,3,25,72482,82756,3117,20525,56857,72376,364835
Peptoniphilus_lacrimalis.1,1,178,19898,27555,2432,5861,9680,21773,184506
Peptoniphilus_lacrimalis.2,2,117,21313,54343,2473,4243,9164,20320,563980
Peptoniphilus_sp000478985.1,1,12,7226,18243,1028,1302,1549,2000,64985
Peptoniphilus_sp000478985.2,2,79,6200,10039,914,1423,2523,5996,59819
Peptoniphilus_sp902363535.1,1,31,2643,2454,1087,1506,1888,2791,14564
Peptoniphilus_sp902363535.2,2,23,19062,36456,1002,1881,7147,23434,173142
Peptoniphilus_vaginalis.1,1,101,9959,11728,1072,2106,4707,13470,51431
Peptoniphilus_vaginalis.2,2,67,9659,14128,990,2683,4719,8913,78732
Peptoniphilus_vaginalis.3,3,49,13517,18228,1335,3217,8521,13852,114293
Peptoniphilus_vaginalis.4,4,38,11337,20847,1108,2838,4503,8089,89625
Peptoniphilus_vaginalis.5,5,24,10452,16976,1587,2437,4845,7205,74322
Peptoniphilus_vaginalis.6,6,24,9546,14075,1081,2257,3817,10467,65827
Peptoniphilus_vaginalis.7,7,19,31364,55203,1361,2783,5484,15473,178376
Peptoniphilus_vaginalis.8,8,18,26042,26209,1282,8844,14502,35984,97169
Peptoniphilus_vaginalis.9,9,18,7520,4643,1028,4012,6362,11501,16318
Peptostreptococcus_anaerobius.1,1,42,10402,10495,2707,4300,6818,11556,46261
Peptostreptococcus_anaerobius.2,2,23,55893,107942,2256,12301,18759,34381,474968
Peptostreptococcus_anaerobius.3,3,23,35302,68825,2441,7131,15743,22406,321813
Peptostreptococcus_anaerobius.4,4,20,31767,32481,3782,13619,25149,31860,141174
Peptostreptococcus_anaerobius.5,5,16,30510,30389,6421,8787,14658,41028,103625
Peptostreptococcus_anaerobius.6,6,15,20975,24044,2647,6228,9901,23550,88504
Peptostreptococcus_anaerobius.7,7,14,20132,23070,2933,4882,8213,24051,77263
Peptostreptococcus_anaerobius.8,8,14,29010,38116,2445,6238,17867,31213,146103
