,as.factor(sample_cluster),n,mean,sd,min,Q1,median,Q3,max
Sneathia_sanguinegens.8,8,19,36694,42808,2039,6204,20205,42193,139113
Sneathia_sanguinegens.9,9,19,10762,7744,1894,3759,10030,15281,28835
Sneathia_sanguinegens.10,10,18,26388,24042,2816,4806,17467,39405,77559
Sneathia_sanguinegens.11,11,16,15012,11765,3147,7718,13363,16378,50019
Sneathia_sanguinegens.12,12,10,23697,19404,2532,6296,24317,30362,58894
Sneathia_vaginalis.1,1,244,32742,80351,1591,5626,11724,23797,713932
Sneathia_vaginalis.2,2,147,89795,186520,2160,9865,37374,90828,1586192
Sneathia_vaginalis.3,3,129,40465,67767,1535,5222,12736,47728,501076
Sneathia_vaginalis.4,4,31,55668,82738,1767,3647,15583,75923,309367
Sneathia_vaginalis.5,5,29,40753,61407,2050,5303,15162,52214,283290
Sneathia_vaginalis.6,6,22,171084,281555,2567,6893,19806,262744,1114858
Sneathia_vaginalis.7,7,20,110670,161261,3612,27154,53418,81948,557137
Sneathia_vaginalis.8,8,20,156894,254519,1222,15429,45285,230121,1111278
Sneathia_vaginalis.9,9,12,138600,68941,49097,88690,137547,168922,258611
Sodaliphilus_spNov1,1,98,52226,135273,1924,3942,12455,32168,846779
Staphylococcus_aureus,1,25,66807,272137,2957,4332,8806,21639,1372210
Staphylococcus_epidermidis.1,1,29,41498,48557,5605,11265,20386,39330,169365
Staphylococcus_epidermidis.2,2,34,9452,10779,2256,3214,5161,8681,38652
Staphylococcus_haemolyticus,1,24,19036,23304,3335,5451,8787,18129,101053
Stomatobaculum_sp002892395.1,1,39,53331,142484,2175,7679,24060,35869,893033
Stomatobaculum_sp002892395.2,2,73,32598,84624,2329,4812,10929,20726,593462
Streptococcus,1,2394,611,5340,0,3,14,67,141180
Streptococcus_agalactiae.1,1,38,69428,156084,2744,7070,18970,90342,945899
Streptococcus_agalactiae.2,2,35,53169,139954,2516,6424,11574,30731,791377
Streptococcus_agalactiae.3,3,32,72360,168605,3149,5260,16872,37162,781531
Streptococcus_anginosus.1,1,12,22394,38258,2706,3703,6127,16681,131482
Streptococcus_anginosus.2,2,103,74677,271110,2029,7728,14489,41074,2031121
Streptococcus_anginosus.3,3,81,20860,38701,1919,3997,7175,14636,196370
Streptococcus_mitis.1,1,86,51145,109106,1897,4798,11450,49514,827073
Streptococcus_mitis.2,2,54,54781,108838,2424,5679,23440,53124,639744
Streptococcus_salivarius,1,23,25544,25720,3606,7128,12823,39124,83523
Sutterella_spNov1,1,20,16808,23061,2512,4575,6758,21097,92371
Trichomonas_vaginalis.1,1,841,949,4865,0,1,2,26,59413
Trichomonas_vaginalis.2,2,176,21,84,0,1,2,8,1026
Trichomonas_vaginalis.3,3,97,171,507,0,4,19,67,3376
Trichomonas_vaginalis.4,4,67,1,0,1,1,1,1,2
Trichomonas_vaginalis.5,5,41,41,56,0,13,25,39,294
Trichomonas_vaginalis.6,6,40,22,40,1,1,6,20,188
Trichomonas_vaginalis.7,7,39,0,0,0,0,0,0,0
Trichomonas_vaginalis.8,8,37,9,18,1,1,2,9,98
Trichomonas_vaginalis.9,9,30,1,1,0,0,1,1,4
Trichomonas_vaginalis.10,10,30,12,48,0,0,0,2,259
Trichomonas_vaginalis.11,11,30,449709,618602,26244,103746,251331,565544,3255783
Trichomonas_vaginalis.12,12,27,1,3,0,0,0,1,18
Trichomonas_vaginalis.13,13,20,0,0,0,0,0,0,1
UBA629_sp005465875.1,1,258,953296,1495935,2650,91412,422014,1135176,14503550
UBA629_sp005465875.2,2,119,57081,278088,1937,2854,3808,8932,2601768
UBA629_sp005465875.3,3,77,891000,1560164,4157,48862,271523,966654,9510199
UBA629_sp005465875.4,4,76,886093,1238022,6894,119185,420302,869064,5610249
UBA629_sp005465875.5,5,14,214615,309187,2656,6835,59104,248637,868889
Ureaplasma_parvum.1,1,58,5085,7344,596,1344,2526,5075,36388
Ureaplasma_parvum.2,2,54,3291,2469,623,1453,2285,4220,11718
Ureaplasma_parvum.3,3,49,6330,14799,663,1086,1954,4382,83762
Ureaplasma_parvum.4,4,28,2645,1907,719,1422,1980,3135,8782
Ureaplasma_parvum.5,5,24,5495,11701,917,1141,2340,3967,58313
Ureaplasma_parvum.6,6,22,1798,783,675,1228,1803,2094,3589
Ureaplasma_parvum.7,7,21,1540,1263,639,835,1085,1282,5310
Ureaplasma_urealyticum.1,1,14,4894,3686,965,2396,4026,6115,14998
Ureaplasma_urealyticum.2,2,31,4110,4939,788,1336,2012,4658,20835
Varibaculum_cambriense.1,1,24,23934,43723,1974,4494,6708,13913,163794
Varibaculum_cambriense.2,2,23,12964,22143,1760,2726,5356,9147,101092
Varibaculum_cambriense.3,3,17,18721,27843,1851,4058,6816,23916,92317
Veillonella_montpellierensis.1,1,43,29822,53619,1921,4769,12940,28893,291000
Veillonella_montpellierensis.2,2,60,22216,44600,1845,4077,8324,23973,321964
Winkia_neuii,1,24,11481,13694,2500,3806,6656,11654,58083
