,as.factor(sample_cluster),n,mean,sd,min,Q1,median,Q3,max
Finegoldia_magna.3,3,55,31336,66546,1936,3999,6665,14258,329997
Fusobacterium_animalis,1,20,54148,135046,3562,7199,14273,25134,600868
Fusobacterium_gonidiaformans,1,22,11437,10206,1792,4294,8260,16555,45289
Gardnerella,1,2525,30078,72817,0,182,2462,26285,979232
Gardnerella_leopoldii.1,1,11,28602,15254,12149,17967,27420,33990,61800
Gardnerella_leopoldii.2,2,102,202189,235991,23010,75682,131655,217541,1424268
Gardnerella_piotii.1,1,489,181696,349227,1347,16705,57107,168742,2562170
Gardnerella_piotii.2,2,335,109096,326513,1338,9944,24373,67653,3208647
Gardnerella_piotii.3,3,259,103708,222850,1821,12236,32491,110240,2165460
Gardnerella_sp003585735.1,1,69,185865,347690,1751,16956,43958,149628,1565482
Gardnerella_sp003585735.2,2,51,71314,123975,3110,9328,28397,66247,721085
Gardnerella_sp003585735.3,3,39,106952,122566,8398,20403,69298,116033,458981
Gardnerella_sp003585845.1,1,14,106134,107262,24034,43393,63516,111837,400811
Gardnerella_sp003585845.2,2,80,155207,212939,7427,40533,88279,178572,1463140
Gardnerella_sp003585845.3,3,79,37564,29420,10350,20452,27471,42186,190374
Gardnerella_sp003585845.4,4,15,90376,75327,15288,43515,58042,118267,254295
Gardnerella_spNov2.1,1,27,31885,44239,2060,6126,14122,37396,172260
Gardnerella_spNov2.2,2,52,215145,241049,8446,62480,110713,288456,1173710
Gardnerella_swidsinkii.1,1,117,574368,637793,12038,162371,330320,816992,3157398
Gardnerella_swidsinkii.2,2,86,1151172,1624841,38034,220185,462275,1409813,8112059
Gardnerella_swidsinkii.3,3,63,34230,43249,3733,12717,19262,37945,227258
Gardnerella_swidsinkii.4,4,39,238601,309661,10016,40095,81680,366448,1114201
Gardnerella_swidsinkii.5,5,37,74801,104345,5720,17231,31737,87782,524266
Gardnerella_swidsinkii.6,6,36,546473,941634,41100,132112,239879,634846,5581075
Gardnerella_swidsinkii.7,7,29,712801,791938,9017,58225,374164,1229555,2795122
Gardnerella_swidsinkii.8,8,29,617155,685203,11801,233762,436401,664260,3592702
Gardnerella_swidsinkii.9,9,17,109819,134877,3931,24588,53729,91859,395009
Gardnerella_swidsinkii.10,10,14,420917,495852,14816,85318,260813,534228,1848671
Gardnerella_vaginalis.1,1,663,132783,424846,2085,12958,37726,120343,9393466
Gardnerella_vaginalis.2,2,556,282003,531984,1446,21348,82055,289430,4411960
Gardnerella_vaginalis_A.1,1,255,131806,180740,2239,35905,70311,151895,1444894
Gardnerella_vaginalis_A.2,2,230,25019,49706,1711,5869,10805,23388,492480
Gardnerella_vaginalis_A.3,3,74,124029,211919,3299,15911,57922,128623,1424185
Gardnerella_vaginalis_B.1,1,15,153506,225899,6975,22354,80653,175851,906665
Gardnerella_vaginalis_B.2,2,71,41348,38810,2907,17858,32470,45129,223476
Gardnerella_vaginalis_B.3,3,49,10970,11598,2023,4043,6848,13262,58833
Gardnerella_vaginalis_B.4,4,31,55758,87511,1716,11907,22254,39408,327904
Gardnerella_vaginalis_C.1,1,282,237791,433031,1881,41280,99254,219464,3117622
Gardnerella_vaginalis_C.2,2,155,52975,180556,1616,4557,10618,32605,2092422
Gardnerella_vaginalis_C.3,3,150,184658,318212,4186,24945,73489,173881,2375740
Gardnerella_vaginalis_D.1,1,200,223225,262491,4765,43446,123095,298212,1505075
Gardnerella_vaginalis_D.2,2,68,42132,61897,3418,11067,20153,43450,378104
Gardnerella_vaginalis_D.3,3,65,20362,34064,1677,5416,8310,22348,230721
Gardnerella_vaginalis_E.1,1,11,394000,485552,26087,96166,194660,446068,1677555
Gardnerella_vaginalis_E.2,2,19,388085,340714,57646,170846,309115,486750,1417862
