dtc,meanRelabund,domTaxa,minClusterSize,deepSplit,mgCST,color_mgCST
29,0.4651729581806886,Lactobacillus_paragasseri_1,10,3,32,#0D4018
23,0.392122802974128,Limosilactobacillus_oris,10,3,33,#8c8c8c
33,0.580188131808472,Lactobacillus_mulieris_1,10,3,34,#A16060
7,0.8405851111556855,Lactobacillus_crispatus_1,10,4,1,#FF0000
8,0.8117584386405232,Lactobacillus_crispatus_2,10,4,2,#FF1919
4,0.8643502635506987,Lactobacillus_crispatus_3,10,4,3,#FF3333
21,0.8175721451739782,Lactobacillus_crispatus_4,10,4,4,#FF4C4C
31,0.8320116122909413,Lactobacillus_crispatus_5,10,4,5,#FF6666
17,0.8724524352608115,Lactobacillus_crispatus_6,10,4,6,#FF7F7F
27,0.7762565985533046,Lactobacillus_crispatus_7,10,4,7,#FF9999
22,0.8615226336749823,Lactobacillus_crispatus_8,10,4,8,#FFB2B2
44,0.6363056346136052,Lactobacillus_gasseri_1,10,4,9,#86BF4D
41,0.6550759289434165,Lactobacillus_gasseri_2,10,4,10,#C2DFA6
14,0.6475698222098262,Lactobacillus_iners_1,10,4,11,#FF8C00
32,0.3312067802082639,Lactobacillus_iners_1,10,4,12,#FF8C00
5,0.7769133321298963,Lactobacillus_iners_2,10,4,13,#FF9C24
15,0.3921732248618415,Lactobacillus_iners_2,10,4,14,#FF9C24
2,0.6425756127054733,Lactobacillus_iners_4,10,4,15,#FFBD6D
9,0.6485966884851313,Lactobacillus_iners_5,10,4,16,#FFCD91
6,0.6829658559505328,Lactobacillus_iners_6,10,4,17,#FFDEB6
35,0.7592623851065965,Lactobacillus_iners_7,10,4,18,#FFEEDA
50,0.4713351727512341,Lactobacillus_jensenii_1,10,4,19,#FAE50D
43,0.6945362463217604,Lactobacillus_jensenii_2,10,4,20,#FAE82B
46,0.7044081809312849,Lactobacillus_jensenii_3,10,4,21,#FBEB49
3,0.3940245173025669,UBA629_sp005465875_1,10,4,22,#448A73
25,0.3226739570313777,UBA629_sp005465875_3,10,4,23,#8EB8AB
29,0.4103114120141257,UBA629_sp005465875_4,10,4,24,#B4D0C7
23,0.3296438920742154,Gardnerella_vaginalis_1,10,4,25,#908BC2
19,0.4844488319619967,Gardnerella_vaginalis_2,10,4,26,#C7C5E0
13,0.2274848054546407,Gardnerella_vaginalis_C_1,10,4,27,#B9B6D9
33,0.2220211651496204,Gardnerella_vaginalis_C_3,10,4,28,#E7E6F2
30,0.1873846521179547,Gardnerella_vaginalis_F_1,10,4,29,#E3E2EF
18,0.1980253669982367,Gardnerella_vaginalis_H_1,10,4,30,#F1F0F7
11,0.2666854033768036,Gardnerella_swidsinkii_1,10,4,31,#827DBA
16,0.2610554326404734,Gardnerella_swidsinkii_2,10,4,32,#8E8AC0
42,0.2185268038562904,Gardnerella_swidsinkii_4,10,4,33,#A7A4CE
38,0.2359657951717524,Gardnerella_swidsinkii_6,10,4,34,#C0BEDC
37,0.2418687074376176,Gardnerella_swidsinkii_7,10,4,35,#CDCBE3
40,0.2670057097824053,Gardnerella_swidsinkii_8,10,4,36,#D9D8EA
36,0.5253343505481927,Gardnerella_piotii_1,10,4,37,#3D3495
10,0.606825202898103,Bifidobacterium_breve_2,10,4,38,#D5FFD5
1,0.2411694137851849,MultiGenera,10,4,39,#8c8c8c
12,0.1909820574107562,MultiGenera,10,4,40,#8c8c8c
20,0.2093265316481618,MultiGenera,10,4,41,#8c8c8c
24,0.1956839869934938,MultiGenera,10,4,42,#8c8c8c
34,0.1749180965894091,MultiGenera,10,4,43,#8c8c8c
39,0.2599328016356856,MultiGenera,10,4,44,#8c8c8c
49,0.4677345474482497,Lactobacillus_paragasseri_1,10,4,45,#0D4018
48,0.4628248346854243,Lactobacillus_paragasseri_2,10,4,46,#869F8B
26,0.392122802974128,Limosilactobacillus_oris,10,4,47,#8c8c8c
45,0.580188131808472,Lactobacillus_mulieris_1,10,4,48,#A16060
28,0.2247344398924468,Cutibacterium_acnes_1,10,4,49,#4C693A
47,0.394579544898374,Trichomonas_vaginalis_11,10,4,50,#C4DFFF
9,0.8405851111556855,Lactobacillus_crispatus_1,11,0,1,#FF0000
11,0.8117584386405232,Lactobacillus_crispatus_2,11,0,2,#FF1919
7,0.8643502635506987,Lactobacillus_crispatus_3,11,0,3,#FF3333
14,0.8175721451739782,Lactobacillus_crispatus_4,11,0,4,#FF4C4C
13,0.8724524352608115,Lactobacillus_crispatus_6,11,0,5,#FF7F7F
